raw_signal,customer_size
"Machte gern das System von uns haben, ABER - 1. Darfen Verkaufer, welche das System nutzen, auch beispielsweise den Preis andern und/oder laschen - oder kann man den Zugriff bei den jeweiligen Mitbinutzern begrenzen? 2. Kein CRM System - geht das trotzdem? Interessiert, aber Klarungsbedarf - ""Hey Joseph, ich hoffe alles bestens bei dir. Ein Kunde von mir Auto-Klein GmbH & Co. KG machte gern das LMS von uns haben, hat aber 2 Fragen dazu. Letztere sollte glaube ich ohne Probleme sein, wollte mich aber vergewissern. - 1. Darfen Verkaufer, welche das System nutzen, auch beispielsweise den Preis andern und/oder laschen - oder kann man den Zugriff bei den jeweiligen Mitbenutzern begrenzen? 2. Haben kein CRM System - geht das trotzdem? Joseph Menga[08:01 Uhr] Hi, bei mir ist alles bestens, ich hoffe bei Dir auch Berechtigungen kannen Individuell eingestellt werden. Da in dem System keine Vertrage erstellt werden und es auch keine Rackspiegelung der Daten in die Listings gibt, braucht der Handler keine Angst um seine Fahrzeugpreise haben. ist keine Problem"" Machte dann jetzt doch erstmal warten, weil sein Mitarbeiter im urlaub ist, der das System nutzen wird. In 2 Wochen nochmal kontaktieren. Wird sich aber wohl in der zwischenzeit schon zum Webinar anmelden, um sich das System anzuschauen. Nicht sicher ob er das System nutzen machte, da er an der Effektivitat verzweifelt.Ist nicht das erste System, dass er sich anschaut und hat far ihn persanlich keinen groaen Mehrwert, da es zum Beispiel nicht mit der VW Welt koppelbar ist. Hat sich erstmal bewusst gegen eine Registrierung entschieden, aber bleibt dem prozess erhalten. Er redet nochmal mit seinen Verkaufern wenn die Urlaubszeit vorbei ist (3-4 Wochen) und stellt denen das System vor. Er denkt das sie es nicht magen werden. Er sagt es gehen wenig Leads verloren, kann schon einmal passieren. Ansatz: Hat keinen wirklichen aberblick wie seine Verkaufer arbeiten, Wann antworten Sie auf die Leads, wie oft rufen Sie den Kunden an bis er nicht mehr angerufen wird, bessere abersicht, einfacher zu bedienen und vor Allem Auswertungen. [Too much effort / change resistance]",M
"Gesprach mit AP Alfred Feiler. Der AP sagte, dass er sehr unter Zeitdruck stehen warde und will daher an keinen Webinar zum LMS teilnehmen. Er sagte jedoch, dass wir ihn diesbezaglich in Zukunft wieder kontaktieren kannen [Too much effort / change resistance]",M
"Dealer states: Too complex for a 2-Person Team, sharing 1 PC [Solution / Fit]",M
"20.07. 12:29 Nicht erreicht 04.08. 9:20 Herr Bartsch erreicht, er hat viel zu tun und keine Zeit far das Webinar. Auaerdem ist ihm das zu kompliziert -> Einwandbehandlung erfolglos. [No time / capacity right now]",M
Handler befindet sich inzwischen im Gold-Paket mit 26 aktiven Inseraten und ist somit nicht geeignet far LMS [Decision Process],M
"29.07.2026 nicht erreicht. 31.07.2026 nicht erreicht. 11.08.2026 nicht erreicht 12.08.2026 Der Kunde hat derzeit kein Interesse, da er eine starkere Abhangigkeit/Bindung an mobile.de vermeiden machte. [Not a priority / low relevance perceived]",M
Keine Rackmeldung bisher,M
"Herr Koc erreicht. Habe ihm den neuen LPM vorgestellt. Er findet die an sich gut, jedoch will er es nicht nutzen. In seinen Augen ist er dadurch noch abhangiger von mobile.de und das machte er nicht.",M
"War nicht so begeistert das er es umsetzt sagte falls melde ich mich, deshalb ist ein nachfassen nicht mehr maglich",M
Gesprach mit AP Emre. Das Gewerbe wurde Abmeldung zum 01.07.26. Leider Aufgrund Geschaftsaufgabe kein LMP maglich.,M
Haben aktuell nicht die Zeit dafar und wollen sich auch das Webinar nicht anschauen. Halten es sich aber far die Zukunft offen. [No time / capacity right now],M
Handler wird in 2-3 Jahren seinen Betrieb aufgeben und hat kein Interesse jetzt noch alles umzustellen,L
24.08.26 Herr Herbst will morgen um 15.00 mit mir das Einrichtungsformular ausfallen. Link far Webinar versendet. In 2 Wochen nachharen wie es ihm gefallen hat. Herr Herbst hat Seminar gesehen far LMP und ist ab nachstem Montag 08.00 Uhr aus dem Urlaub zurack. [Not a priority / low relevance perceived],M
"Handler machte nachstes Jahr in Rente gehen und fahrt das Geschaft jetzt langsam runter. Will deshalb kein neues LMS mehr einfahren, lohnt sich far ihn nicht.",M
"Handler nutzt keine anderen Leadkanale, nur noch mobile.de, hat alle anderen Barsen gekandigt. Er verwaltet im Handlerbereich die Leads zentral und verteilt sie strukturiert an seine Verkaufer. Funktioniert far ihn optimal, benatigt keine andere Lasung. [Already have a process/tool]",M
HD hatte sowieso wenig Zeit und musste von Sales (s. Comment Sales) und LMP Team bearbeitet werden zuzustimmen. Hat sich dann auf mehrere E-mail Anfragen und Anrufe nicht mehr gemeldet. [No time / capacity right now],M
"Telefonat mit AP Ulrich Renker. Der Handler hat mir gesagt, dass er Vertrages-Handler bei Hyundai ist und daher vertraglich verpflichtet sei, deren LEAD-Management System zu benutzen. und daher kein weiteres System braucht [Already have a process/tool]",M
"Account ist leider deleted, da sich der Kunde nicht die Rechnung leisten kann.",M
Dealer does not want to alter internal processes [Effort],M
"Gesprach mit AP Murat Eligal. Der Handler hat mir gesagt, dass er gerade absolut aberlastet ist und gerade keine Zeit hat, nicht einmal far ein 30 minatiges Webinar. Ich kann ihn jedoch nach dem Sommer diesbezaglich wieder kontaktieren. [Timing]",M
25.06. - Nicht erreicht 01.07. - Nicht erreicht 02.07. - Nicht erreicht 03.07. - Nicht erreicht 20.07. - Nicht erreicht 23.07. - Nicht erreicht 03.08. - Nicht erreicht 04.08. - Nicht erreicht 07.08. - Nicht erreicht [Contact not reachable],M
"Gesprach mit AP Herr Amer El-Ali. Der Handler hat mir gesagt, dass er nur ganz wenige Anfragen hat und diese sehr gut verwalten kann und daher kein spezielles Tool zusatzlich benatigt. Das Webinar dazu wollte er sich auch nicht ansehen [Too much effort / change resistance]",M
ne 8x / 18.08. - morgen frah ab 11 nochmal probieren - gar kein Interesse an dem LMPro. [Too much effort / change resistance],M
Dealer is not reachable and changed setup so LMP is inactive [Unknown],M
ne / ne / ne / ne Kunde regt sich aber die Kosten auf - Scheint Interessiert zu sein - hat sich far alles registriert. [Contact not reachable],M
"Herr Apaydin erreicht. LMP prasentiert. Er ist aktuell zufrieden mit dem, wie er die Leads bearbeitet. Machte sich bei zukanftigem Interesse melden. [Not a priority / low relevance perceived]",M
"An mb weitergeleitet (7x nicht erreicht bisher) Da Handler nicht erreichbar ist, werde ich die Opportunity als Lost markieren [Contact not reachable]",M
"HD telefonisch erreicht, hat kein Interesse nach dem Webinar mehr gehabt. Wollte keine weitere Auskunft geben. // RP 09.09.2026 HD kontaktiert erstes Mal, // 03.09.2026 RP [Unknown]",M
"Bezaglich Live-Schaltung meldet sic das Autohaus nochmal. Die wollen prafen, ob man aus dem LMP direkt heraus Vertrage erstellen kann Wir sollen uns am 12.8.26 erneut melden zwecks der Abstimmung siehe Case 13825853 CK 03.08 26.08.26 EB | ASP Hr. Hoins gibt an, aktuell kein Interesse am LMP zu haben, er warde auf uns zukommen sobald es wieder interessant far sie ware [No time / capacity right now]",M
"Tel. n.e. SW 23.7 - weiterhin keine Antwort, hat nun bereits 7 Mails und mehrfache Anrufe gehabt und reagiert nicht The dealership doesn't react to our efforts to contact them to schedule an onboarding appointment",M
"Dealer does not want to be contacted pro-actively, also does not contact us. [No time / capacity right now]",M
No time right now: Autumn 2026 would be a better fit [No time / capacity right now],M
He says the system is too much for his own concept and what he currently needs to do his work. [Solution / Fit],M
"Keine Rackmeldung bisher, bezaglich Paketupgrade. HDL ist momentan nciht berechtigt das LMP kostenfrei zu nutzen",M
"From what we gathered, she feels more comfortable working with the regular Lead Manager in her own dealer area. ""I found the issue while I wasn't getting any leads (<- in her regular dealer area, as it was before LMP go-live). My mail address was wrong!"" [Too much effort / change resistance]",M
Customer terminated contract and reactivated account using the Bronze-Package [Model],M
Machte Lead Manager Pro nicht mehr nutzen. Da er sehr viel Feedback und Frust von der Verkaufsmanschaft bekommen hat.,M
Dealer has lost intrest [Solution / Fit],M
Dealer states that too many bugs are interfering with business [Previous bad experience / low trust],M
Autohaus Simic machte kein LMP siehe folgenden Case 13757909 [No time / capacity right now],M
No contact to dealership [Contact not reachable],M
"Terminierung angefragt siehe 13779320 | EB - 23.07 28.07.26: Telf. wieder n.e | Schreibe erneute Mail 13798161 Telf. wieder nicht erreicht erneute Mail is raus siehe 13847560 CK 06.08 Telf. wieder nicht erreicht Mail is raus siehe Case 13826893 CK 03.08 Hat sich nie gemeldet bei uns, weder auf Mail noch auf Anrufe | EB - 26.08.26 [Contact not reachable]",M
Dealer needs all his integrations and AI-auto responses. Dealer is open to try again when this is possible. [Solution / Fit],M
"Dealer states: Too compley, too much of a hassle to learn the system [Solution / Fit]",M
"Eric Goldberg Sales Call 13.08.2026: Opportunity Lost --> dealer says that he does not need LMP, he is fine with his phone, email and calendar and does not want to change. [Already have a process/tool]",L
"siehe Case 13801317 - Kein Interesse an LMS - vertraut auf sein bestehendes ""System"" [Already have a process/tool]",M
29.07. - Nicht erreicht 29.07. - LMP nicht Interessant. Herr azcan firmiert jetzt gerade um und hat eine neue Firma. Wollen dann im September wenn der neue Account steht nochmal aber LMP sprechen und gegebenenfalls auch nutzen. Vor der Umfirmierung erstmal kein Interesse. [Timing],M
Handler 7 mal nicht erreicht [Contact not reachable],M
"Frau azler meint Sie haben keine Zeit far ein Webinar, ware Interessant aber Seminare oder Webinare kann Sie nicht teilnehmen Sie bekommen durchgehend Laufkundschaft",M
"Handler machte es nicht nutzen, da sie ein eigenes Tool haben, das ihnen alle Leads (auaer von Whatsapp) abersichtlich zusammenfasst. Im Moment will er sein System nicht andern. [Already have a process/tool]",M
"Er machte es nicht nutzen, ihm gefallt sein System so, wie es ist. Er ist der Einzige, der die Leads bearbeitet und alles verwaltet. Dadurch besitzt er einen guten aberblick auch ohne LMS. [Too much effort / change resistance]",M
Handler nutzt cardesk und machte erstmal nicht wechseln [Already have a process/tool],M
Kunde ist Isolvent daher keine relevanz,M
"Habe ihm LMS vorgestellt, er machte sich nicht mit einem neuen System befassen. Er schatzt den Aufwand graer ein als den Nutzen far sich. Auch far ein Webinar hierzu will er sich keine Zeit nehmen. [Too much effort / change resistance]",M
"erreicht kein intresse an LMS - will kein LMS nutzen da er an seinem ""System"" festhalten will - hat kein System mache sich nicht einarbeiten in ein neus System und ist mit dem Status Quo zufrieden",M
"nicht erreicht (17.8.) -Herr El Zein erreicht (24.8.). Habe ihm den LMP vorgestellt. Das Produkt ist far ihn nicht interessant, da er nur mobile.de als Onlinebarse nutzt. Findet das Tool an sich aber gut. [Not the right person]",M
"AP im Urlaub, RR Anfang September Kunde hat kein Interesse an neuen Tools und meldet sich bei Bedarf selbst. [Already have a process/tool]",M
"Herr Elsen erreicht. Habe ihm den LMP vorgestellt. Er meinte, dass sie jetzt ein anderes, externes LMS in ihr Autohaus integriert haben. Deswegen ist das Tool aktuell nicht interessant. Wenn das andere LMS nicht ihren Standards entspricht, wird er sich wieder melden. [Already have a process/tool]",M
"Hat sich registriert far den 11.08. 11 Uhr - musste die Phase manuell weiterschalten. // noch nicht vollstandig aberzeugt, aber machte es sich zumindest einmal anschauen. Morgen frah noch einmal anrufen. 19.08. nicht erreicht / Keine Zeit gerade dafar und keinen Mehrwert - momentan nicht [Too much effort / change resistance]",M
"Handler nutzt nur Telefon far Leads, kein Email verkehr und kein LMS. [Solution / Fit]",M
Kunde ist seit mehreren Monaten nicht erreichbar [Contact not reachable],M
Dealer uses a LMS supplied by Harley Davidson. This is a blocker for the dealer. [Already have a process/tool],M
"kein Interesse, bleibt bei seiner eigenen Lasung, welche nicht genauer beschrieben wurde",M
"Hat seit Monaten immer wieder Probleme, die Rechnungen zu bezahlen. Geschaft lauft kritisch, daher wartet er erstmal die Entwicklung ab und will kein neues System installieren.",M
"Handler will sich nicht mit einem neuen Leadsystem befassen, da er gerade eher damit beschaftigt sei, eine Insolvenz abzuwenden. [Not a priority / low relevance perceived]",M
"Handler ist zufrieden mit seiner bisherigen Leadverwaltung, sieht far sich keinen Mehrwert in einer anderung des Systems. Machte dazu auch kein Webinar zur Info besuchen. [Too much effort / change resistance]",M
27.07. - Herr Mesih erreicht. Ist aktuell in der Umfirmierung. Machte deswegen jetzt nicht mehr mit dem Webinar starten. Will das lieber dann im neuen Account und der neuen Firma machen. Ab 01.09. wieder Interesse far solche Themen. [Timing],M
Lms keine Interesse da er hauptsachlich mobile.de nutzt und das Dialog Center far Ihn schon mega genug ist.,M
"Lead Manager System gepitcht, Handler wollte trotz der Vorteile es nicht eingebunden bekommen. Auf Nachfrage wie er Leads bearbeitet, meinte er klasisch per Mail. Gerade weil es far Ihn sehr von Vorteil ware, war er aber nicht gesprachsbereit.",M
11.08. Kunde kann seit mehreren Monaten nicht erreicht werden. Hat seit dem IT Test kein Interesse mehr an Kontakt und ignoriert die anrufe bzw. drackt sie weg. [Contact not reachable],M
29.07. - Herr Kuper erreicht. Zum LMP aufgeklart. Er sagte das er gar keine Lust mehr hat irgendetwas neues zu integrieren. Er will eh bis zu seiner Rente nichts mehr andern und so bleiben wie er ist. Er meinte noch das sich die Jugend in 3 Jahren damit rumschlagen kann und hat dann das Gesprach beendet. [Not a priority / low relevance perceived],M
"Im Mai zu LMS Webinar eingeladen, lt. Q2 target list am Webinar teilgenommen 03.09. nochmalige anfrage zu LMS - kein Interesse [Already have a process/tool]",M
Mit Herrn Salim gesprochen. Registration gesendet. Heute um 12.00 Uhr wieder anrufen. Sein Sohn kammert sich um das Thema. [Contact not reachable],M
Er ist zufrieden mit seinem aktuellen Handling und braucht keine zusatzliches Tool,M
Handler hat von Interner IT erstelltes Firmeninternes LMSa [Already have a process/tool],M
"Handler nutzt bereits ein LMS vom Hersteller. Sie sind dazu verpflichtet, dieses zu verwenden. Daher hat er kein Interesse an dem Angebot von mobile. [Already have a process/tool]",M
Der Handler ist nicht far den LMP geeignet (hat stets durchschnittlich unter 40 FZ online). [Not the right person],M
"Herr Steffen Drealer erreicht. Er hatte direkt eine Rackfrage zu dem LMP. Habe ihm erklart, wie dieser funktioniert. Er dachte, dass es sich dabei um den Lead Manager im HB handelt. Ist daran nicht interessiert, da er schon mit einem externen LMS arbeitet. [Already have a process/tool]",M
"Habe nacheinander zwei Personen zu LMS beraten: Entscheider Herrn Brinkmann und der Ansprechpartner far mobile Herrn Salzmann. Beide auaerten sich ablehnend gegenaber einem neuen Leadsystem. Hauptargument: Sie regeln alles aber Mails, das habe sich bewahr [Too much effort / change resistance]",M
"13.08. Kein Interesse an LMP, machte alles selbst per email machen [Already have a process/tool]",M
"Mit AP gesprochen, ist nicht interessiert da er darin aberhaupt keinen Mehrwert sieht. Seiner Aussage nach hat er hauptsachlich Export-Kunden und benatigt ein solches System nicht. Versucht ihm die Vorteile zu nennen die auch den Export betreffen, wollte dennoch nicht am Webinar teilnehmen bzw. hat kein Interesse gezeigt [Not a priority / low relevance perceived]",M
Webinar am 20.08.26 um 14.00 Uhr [Contact not reachable],M
06.08. - Soll Montag NM anrufen. 10.08. - Nicht erreicht 17.08. - Herr Stahl erreicht. Zum LMP aufgeklart. Er sagte das er sowas nicht machte. Er glaubt das ihm das Tool keinen Mehrwert bietet und er machte sowieso lieber altmodisch weiterarbeiten. Machte in seiner Struktur nichts andern. [Not a priority / low relevance perceived],M
"Bei der WM-Vermarktung den LMP angesprochen. Aktuell hat er kein Interesse daran, wird sich aber bei Bedarf melden. [Not a priority / low relevance perceived]",M
"28.07.2026 nicht erreicht. 30.07.2026 nicht erreicht. 11.08.2026 Handler war bei der Begraung sehr kurz angebunden und wiederholte mehrfach kein Interesse zu haben, ohne jegliche Begrandung. [Not a priority / low relevance perceived]",M
"Handler machte sich nicht in neues System einarbeiten. Lehnt auch ab, sich im Webinar aber das Produkt zu informieren. Handler hat sich hinsichtlich neuer, moderner Produkte selbst als ""oldschool"" bezeichnet. [Too much effort / change resistance]",M
HDL Teilt mit das die Chefetage sich dagegen entschieden hat da ihnen das System zu Kompliziert Herr Mala selber will das System er schreibt uns auch noch ein Feedback dazu,M
"Wenig Online Affin und kann sich mit Webinaren nicht indendifizieren auch war kein groaes Interesse da, dass man dies hatte andester Lasen kannen",M
"13.08. Nicht erreicht 14.08. Kein Interesse, behandelt leads lieber selbst aber whatsapp und telefon [Too much effort / change resistance]",M
"AP am 11.08. wieder im Haus, RR eingetragen 13.08. wenig und leads und wenig verkaufer, daher kein interesse [Not a priority / low relevance perceived]",M
"24.07. 14:00 nicht erreicht 29.07. 16:20 Herr Feliz erreicht, er hat kein interesse am LMP, da er einen festen Kundenstamm hat, die er sowieso direkt kennt, da braucht er kein Lead Management System. [Solution / Fit]",M
23.07. - Nicht erreicht 27.07. - Nicht erreicht 28.07. - Nicht erreicht 30.07. - Nicht erreicht 31.07. - Nicht erreicht 03.08. - Nicht erreicht 04.08. - Nicht erreicht [Contact not reachable],M
"Handler hat keine Verwendung far das Angebot von mobile, da sie verpflichtet sind, das Leadsystem vom Hersteller zu nutzen. Wenn sie dies nicht verwenden bzw. die darin einlaufenden Leads nicht in 24 Stunden bearbeiten, gibt es Sanktionen vom Hersteller. [Already have a process/tool]",M
"scheint Interesse vorhanden - hat Link - noch nicht eingetragen - ne / eingetragen / haben Morgen Termin far den EFB. / Findet das System echt gut und interessant, jedoch nur sein Vater und er im Verkauf. Er meint es hat zu viele Funktionen far ihn, so mehr aufwand und sein vater kommt wohl mit dem System nicht klar und machte es nur ungern bedienen. [Decision Process]",M
Herr Stein machte nichts kaufen. Er ist nur interessiert daran zu verkaufen. Keine Zeit far Lead Management Systeme Er hat kein Interesse am LMP [No time / capacity right now],M
"29.07.2026 nicht erreicht. 31.07.2026 nicht erreicht. 11.08.2026 nicht erreicht. 12.08.2026 nicht erreicht. 13.08.2026 kein Interesse, machte nicht noch abhangiger von mobile.de werden. [Prefers async info]",M
Ist eine One Man show und braucht kein System was seine Leads Managed,M
"Habe den Handler aber das neue LMS beraten, Handler lehnt eine anderung seiner bisherigen Routinen kategorisch ab und ist auch nicht bereit, das naher zu begranden. [Too much effort / change resistance]",M
31.07. - Nicht erreicht 03.08. - Nicht erreicht 05.08. - Nicht erreicht 06.08. - Nicht erreicht 07.08. - Nicht erreicht 10.08. - Nicht erreicht 17.08. - Nicht erreicht [Contact not reachable],M
"Lost Reason: Der Handler kann das System nicht verwenden, da er hauptsachlich Exportgeschafte macht an dem Standort, wo er 90% der angebotenen Funktionen hier nicht nutzen warde - gema der eigenen Aussage. Der Opp-Flow hier ist lost, da der Standort bzw. Schwester-Standort in Bahl selbst einen Flow hat, der im Status Signing steht (https://mobilede.lightning.force.com/lightning/r/Account/001b00000046UbAAAU/view) Kontaktdaten unten belasse ich, ggf. passen diese zum neuen Fragebogen. 09.09.: Dieser Standort hat kein Interesse, da fast nur Export verkauft wird - der andere Standort in Bahl hat Interesse, Kontaktdaten Ansprechpartner / info@autoforum-buehl.de / 07223/944260 / Herr Richter. Klare ab ob ein neuer Opp-Flow far diese notwendig ist, oder nicht 09.09.: Mail raus ob noch Interesse besteht; Deadline 14.09.26 03.09.: HD erneut kontaktiert zwecks Liveschaltung. Da er erst aus den Betriebsferien zurackkam warde ich hier noch ein wenig Geduld aben. Im Zweifelsfall Lost falls er auf den nachsten Kontaktversuch nicht reagiert. RP 03.09.2026 - Da Betriebsferien anfangen, Live-Schaltung erst Anfang September / Hatte weder Kamera noch Mikro im Meet, deshalb parallel telefoniert, keine Aufnahme gewollt/gewanscht, da es darin keinen Ton gibt und diese far zukanftige Trainingszwecke nicht verwendet werden masste - OB geplant far kommenden Montag 10.08. um 12:00 Uhr / Daten zur Systemeinrichtung angefragt und angemerkt, dass diese vorab natig sind 13847371 Upload Settings: API-User [Solution / Fit]",M
"Kunde kandigt zum Ende des Jahres, wegen Preiserhahung. [Previous bad experience / low trust]",M
Kein Interesse an Betreuung/LMP [Unknown],M
Bisher keine Rackmeldung /weder telefonisch noch schriftlich),M
"am 01.09. mit Herr Neumann gesprochen, kein Interesse an LMS da eigen gestrickte Lasung. [Already have a process/tool]",M
"Kein Interesse an LMP, hat bereits Firmeninternes System, keine naheren Infos [Already have a process/tool]",M
"07.08. 12:00: HD erreicht, hat akutes Zeitproblem und daher kein Interesse an einem Lead Management System [No time / capacity right now]",M
"29.07.2026 nicht erreicht. 31.07.2026 nicht erreicht. 11.08.2026 hat kein Interesse, machte keine weiteren Tools von mobile.de nutzen um nicht noch abhangiger zu werden. [Not a priority / low relevance perceived]",M
Handler erfallt nicht die Mindestanforderung an Listings. [Not the right person],M
Machte es nicht ist ein Einzelkampfer lt. Handler die Anfragen sind aberschaubar,M
"Lost Reason: Machte das System nicht verwenden ohne Maglichkeit zur KI-Antwort auf EMails - handisch zu antworten bzw. Vorlagen zu erstellen kostet ihm zu viel Zeit. - 25.08.: Machte nicht live gehen, bevor wir keine KI-Antwort far Mails haben (was ich als 'In Bearbeitung ohne Zeitrahmen oder naher Zukunft als Maglichkeit', behandelt habe, nachdem er es ansprach) - 24.08.: Wieder nicht erreicht, Live-Schaltung ausstehend, war zur ersten nicht erschienen, seitdem keine Antwort - 21.08.: Erneute Nachfrage zwecks nicht stattgefundener Live-Schaltung - Live-Schaltung 18.08. 10 Uhr / Stand 10:09 Uhr - Handler nicht da, geht nicht ans Telefon, Link zur Live-Schaltung zur Sicherheit noch einmal verschickt - Onboarding-Link geschickt 13844197 - Daten eingereicht, Handler angelegt, jedoch keinen Termin genannt, Termin far OB erneut angefragt Upload Settings: API-User [Effort]",M
Er meinte das er keine Lust auf zusatzliche Sachen hat und auch sehr gut alles alleine Managen kann. Er sagte er braucht dafar kein zentrales LMS.,M
Konnte mir keinen Grund nennen. Meinte nur er hat keine Lust darauf.,M
"Hat kein Interesse am LMP, mobee Anrufassistent und Inserats-Analyse. Er brauche es in seinem Ein-Mann-Betrieb nicht und machte sich nicht so abhangig von mobile.de machen. [Not a priority / low relevance perceived]",M
Alter Mann wurde auch stutzig beim Link // Keine Kommunikation maglich deshalb,M
"Handler machte sein System nicht umstellen. Sie sind nur bei mobile.de, nutzen keine weiteren Fahrzeugbarsen oder Leadquellen. Er ist mit der aktuellen Leadbearbeitung aber mobile zufrieden, anderung nicht natig.",M
DG ins Bronze zum Jahreswechsel [Not the right person],M
"Handler wollte sich LMS nicht erklaren lassen. Er meinte generell, dass er am aktuellen Verfahren mit den Leads nichts verandern machte. Lieber hatte er weniger Leistungen und etwas Preisnachlass. War nicht an weiteren Informationen interessiert.",M
Kein Interesse - bearbeitet die Leads per Mail und machte sein System beibehalten,M
"Kein interesse an LMP, Moblie soll nochmal in ein paar Monaten anrufen... [No time / capacity right now]",M
Herr Kazakov erreicht. zum LMP aufgeklart. Er sagte das er das Gewerbe zumachen wird. Er ist schon im Minimum und macht nur noch den Abverkauf und wird dann schlieaen. Will aus diesem Grund keine neuen Sachen mehr nutzen oder einstellen.,M
Kein Interesse - will am bestehenden Set Up festhalten,M
Kunde hat aktuell kein interesse und keine Zeit far Seminare [Webinar format not preferred],M
Sie rufen Ihre Kunden aber das Dialog Center an und machten nichts daran umstellen - Vorteile sagt der Kunde ware nur Mehraufwand - sind glacklich wie es ist und auch Auswertungen bringen dem Kunden wohl nichts. [Already have a process/tool],M
"29.07.2026 nicht erreicht. 31.07.2026 nicht erreicht. 17.08.2026 erreicht, hatte gerade keine Zeit. 19.08.2026 hat kein Interesse am LMPro, hat bereits ein eigenes System. [Already have a process/tool]",M
"Hat kein Interesse am LMPro, da sie sich nicht noch abhangiger von mobile.de machen machte. [Not a priority / low relevance perceived]",M
29.07. - Herr Berjawi ist erst ab 20.08. wieder da. 20.08. - Herr Berjawi erreicht. Haben aber LMP gesprochen. Er sagt er ist da sehr altmodisch und will lieber weiter in seinem Email Systemen arbeiten. [Too much effort / change resistance],M
"07.09. Sieht keinen Mehrwert im LMP, kein Interesse [Already have a process/tool]",M
Aktuell keine Zeit und machte auch keine Zeit far ein Webinar investieren. Vielleicht in Zukunft mal interessant. [No time / capacity right now],M
"Soll morgen nochmal anrufen, aber er war nicht gerade der hellste, hat die einfachsten sachen nicht verstanden und sprach schwer deutsch - sehe ihn erstmal bei lost",M
AP war im Urlaub ab nachste Woche probieren 17.08 Ende dieser Woche ERST AB NaCHSTER WOCHE ANRUFEN! 01.09 kriege rr Machte nicht kommunizieren der Herr Batinovic,M
Machte nicht kooperieren mit mobile.de,M
