"Opportunity Name";"Opportunity Owner: Department";"Account Owner Department";"Last Stage Change Date";"Description";"Comment";"Comment Sales";"Lost Reason";"Opportunity Owner";"Lost Reason 1";"Lost Reason 2";"Lost Reason 3"
"Motorrad-Theiner - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"17.08.2026";"";"";"";"Alter Mann wurde auch stutzig beim Link // Keine Kommunikation m�glich deshalb";"Eren Kaya (AWF)";"Other";"";""
"Alakuzei - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"23.07.2026";"";"";"23.7. H�ndler das LMS erkl�rt. Er m�chte es nicht nutzen. Sie sind nur bei mobile.de, nutzen keine weiteren Fahrzeugb�rsen oder Leadquellen. Er ist mit der aktuellen Leadbearbeitung �ber mobile zufrieden, �nderung nicht n�tig.";"H�ndler m�chte sein System nicht umstellen. Sie sind nur bei mobile.de, nutzen keine weiteren Fahrzeugb�rsen oder Leadquellen. Er ist mit der aktuellen Leadbearbeitung �ber mobile zufrieden, �nderung nicht n�tig.";"Salma Karachouli (AWF)";"Other";"";""
"SD Automobile since 1995 - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"22.07.2026";"";"";"Herr Drost wird zum Jahreswechsel ins Bronze wechseln. Das Produkt kann somit nicht mehr genutzt werden.";"DG ins Bronze zum Jahreswechsel";"Samuel Hoffmann Kather (AWF)";"Not the right person";"";""
"Justus Automobile GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"23.07.2026";"";"";"";"H�ndler wollte sich LMS nicht erkl�ren lassen. Er meinte generell, dass er am aktuellen Verfahren mit den Leads nichts ver�ndern m�chte. Lieber h�tte er weniger Leistungen und etwas Preisnachlass. War nicht an weiteren Informationen interessiert.";"Salma Karachouli (AWF)";"Other";"";""
"Autohaus Refhat GmbH - Lead Manager Pro";"Inside Account Management 1 (DD Heusenstamm)";"Inside Account Management 1 (DD Heusenstamm)";"26.08.2026";"";"";"Kein Interesse - bearbeitet die Leads per Mail und m�chte sein System beibehalten";"Kein Interesse - bearbeitet die Leads per Mail und m�chte sein System beibehalten";"Emtias Moschfek  (AWF)";"Other";"";""
"Frank Richter Nutzfahrzeuge - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"07.09.2026";"";"";"Kein interesse an LMP, Moblie soll nochmal in ein paar Monaten anrufen...";"";"Marco Elsaesser (AWF)";"No time / capacity right now";"";""
"AUTOPARK-ROTTWEIL - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"07.09.2026";"18.08. - Nicht erreicht. Befindet sich bereits im DG ins Bronze.
21.08. - Nicht erreicht
07.09. - Herr Kazakov erreicht. zum LMP aufgekl�rt. Er sagte das er das Gewerbe zumachen wird. Er ist schon im Minimum und macht nur noch den Abverkauf und wird dann schlie�en. Will aus diesem Grund keine neuen Sachen mehr nutzen oder einstellen.";"";"";"Herr Kazakov erreicht. zum LMP aufgekl�rt. Er sagte das er das Gewerbe zumachen wird. Er ist schon im Minimum und macht nur noch den Abverkauf und wird dann schlie�en. Will aus diesem Grund keine neuen Sachen mehr nutzen oder einstellen.";"Stefan P�lzig (AWF)";"Other";"";""
"AutoCenter Brennecke GmbH - Lead Manager Pro";"Inside Account Management 1 (DD Heusenstamm)";"Inside Account Management 1 (DD Heusenstamm)";"27.08.2026";"";"";"Gespr�ch mit H�ndler am 05.05.2026 - Kein Interesse an LMS";"Kein Interesse - will am bestehenden Set Up festhalten";"Ralf Landmann (AWF)";"Other";"";""
"AHG Autohandelsgesellschaft mbH - Lead Manager Pro";"Inside Account Management 1 (DD Heusenstamm)";"Inside Account Management 1 (DD Heusenstamm)";"26.08.2026";"";"";"Kunde hat aktuell kein interesse und keine Zeit f�r Seminare";"";"Emin Cildir  (AWF)";"Webinar format not preferred";"";""
"Metropol Car - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"22.07.2026";"";"";"Ben�tigen das System nicht - M�chten alles so behalten wie es ist.";"Sie rufen Ihre Kunden �ber das Dialog Center an und m�chten nichts daran umstellen - Vorteile sagt der Kunde w�re nur Mehraufwand - sind gl�cklich wie es ist und auch Auswertungen bringen dem Kunden wohl nichts.";"Aaron Haupt  (AWF)";"Already have a process/tool";"";""
"Frenzel & Rang GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"19.08.2026";"";"";"29.07.2026 nicht erreicht. 31.07.2026 nicht erreicht. 17.08.2026 erreicht, hatte gerade keine Zeit. 19.08.2026 hat kein Interesse am LMPro, hat bereits ein eigenes System.";"";"Christoph Krausse (AWF)";"Already have a process/tool";"";""
"Autos am Posthorn - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"02.09.2026";"";"";"Hat kein Interesse am LMPro, da sie sich nicht noch abh�ngiger von mobile.de machen m�chte.";"";"Christoph Krausse (AWF)";"Not a priority / low relevance perceived";"";""
"Final-Automobile - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"20.08.2026";"29.07. - Herr Berjawi ist erst ab 20.08. wieder da.
20.08. - Herr Berjawi erreicht. Haben �ber LMP gesprochen. Er sagt er ist da sehr altmodisch und will lieber weiter in seinem Email Systemen arbeiten.";"";"";"";"Stefan P�lzig (AWF)";"Too much effort / change resistance";"";""
"Rudolf Greiwing GmbH - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"07.09.2026";"";"";"07.09. Sieht keinen Mehrwert im LMP, kein Interesse";"";"Marco Elsaesser (AWF)";"Already have a process/tool";"";""
"JARKAS Automobile - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"22.07.2026";"Herr Lagos erreicht. Zum LMS abgeholt. Er meint das er aktuell keine Zeit hat sich damit zu befassen und sich auch nicht die Zeit daf�r nehmen m�chte. Sagte es k�nnte vielleicht in Zukunft mal Interessant werden aber aktuell will er keine Zeit investieren um sich ein Webinar anzuschauen.";"";"";"Aktuell keine Zeit und m�chte auch keine Zeit f�r ein Webinar investieren. Vielleicht in Zukunft mal interessant.";"Stefan P�lzig (AWF)";"No time / capacity right now";"";""
"Autogarten - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"02.09.2026";"";"";"Soll morgen nochmal anrufen, aber er war nicht gerade der hellste, hat die einfachsten sachen nicht verstanden und sprach schwer deutsch - sehe ihn erstmal bei lost";"siehe comment sales";"Eren Kaya (AWF)";"Other";"";""
"Autohaus Milde KG - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"14.09.2026";"";"";"AP war im Urlaub ab n�chste Woche probieren 
 17.08 Ende dieser Woche 
 ERST AB N�CHSTER WOCHE ANRUFEN! 
 01.09 kriege rr 
 M�chte nicht kommunizieren der Herr Batinovic";"siehe sales comment";"Eren Kaya (AWF)";"Other";"";""
"Thomas Sportwagen GmbH - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"19.08.2026";"";"";"M�chte nicht kooperieren mit mobile.de";"M�chte nicht kooperieren mit mobile.de";"Eren Kaya (AWF)";"Other";"";""
"AC Auto Concept GmbH - Lead Manager Pro";"Sales";"SDG managed (CCONE)";"24.08.2026";"";"";"";"";"Eric Goldberg";"Budget / Price";"";""
"Sterncardirekt UG (Haftungsbeschr�nkt) - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"22.07.2026";"Herr Karl Heck erreicht. Er m�chte nicht mehr mit mobile.de sprechen und auch keine neuen Services in Anspruch nehmen. ""Ich werde mich nur selbst bei Ihnen melden, wenn ich etwas brauche.""";"";"[Merged from 006bF00000WXpLC]: Herr Karl Heck erreicht. Er m�chte nicht mehr mit mobile.de sprechen und auch keine neuen Services in Anspruch nehmen. ""Ich werde mich nur selbst bei Ihnen melden, wenn ich etwas brauche.""";"[Merged from 006bF00000WXpLC]: Herr Karl Heck erreicht. Er m�chte nicht mehr mit mobile.de sprechen und auch keine neuen Services in Anspruch nehmen. ""Ich werde mich nur selbst bei Ihnen melden, wenn ich etwas brauche.""";"Samuel Hoffmann Kather (AWF)";"Other";"";""
"Raschka Trucks GmbH - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"07.09.2026";"";"";"RR an Frau Raszka ab 05.08. 07.09. Kein Interesse";"";"Marco Elsaesser (AWF)";"Unknown";"";""
"Autohaus Otto Model GmbH & Co. KG - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"01.09.2026";"";"";"27.07. rufe am 07.10. nochmal an -> siehe 13745925 14.08. Nicht erreicht 01.09. Bei Ank�ndigung des LMP war seine Antwort: ""Wir arbeiten hier mit Stift und Papier und das wird sich auch nie �ndern""";"";"Marian Leue (AWF)";"Prefers async info";"";""
"Interstrip Auto GmbH - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (CCONE)";"21.08.2026";"Finaler Lost Reason: H�ndler hat Voraussetzungen nicht erf�llen k�nnen (1 Mailadresse pro Nutzer) und dann einen Terminvorschlag als Best�tigung festgehalten, sich am Ende beschwert. Nach einer Aufkl�rung nie wieder gemeldet. Deadline durch. Lost.

- H�flich kontaktiert (14.08.) mit Deadline Ende kommender Woche (-> 21.08.), wenn keine Antwort, oder kein Interesse mehr -> Lost

- Seit der Aufkl�rung zur Beschwerde am Montag den 03.08. kam nichts mehr / 11.08.

- 03.08.: Haben Freitag erneut eine E-Mail geschrieben, alles im selben Case, also gut nachverfolgbar (inklusive Case Comment, wo der Account Manager uns mitteilte, dass Frau Gross um Kontaktaufnahme gebeten hat) -> 13782559 <-
H�ndler hat uns f�lschlicherweise im Mailverlauf vorgeworfen, dass wir einen Termin am 27.07. um 15 Uhr best�tigt, aber nicht wahrgenommen haben.
Wir haben es deutlich gemacht, dass wir den Termin gerne wahrnehmen - WENN - bis dahin alle Gegebenheiten gew�hrleistet sind und Voraussetzungen geschaffen, Stichpunkt: Nutzer brauchen eine eigene Mailadresse.
Bei der Thematik Mailadresse stellt sich wohl der Chef quer.
Habe in meiner letzten Antwort einmal deutlich festgehalten, wie der Ablauf war, wo das vermutete Missverst�ndnis lag und weshalb wir dies bedauern, jedoch auf die korrekten Gegebenheiten angewiesen sind (System funktioniert nicht, wenn 2 Leute den selben 'Zugang zum einloggen' verwenden)

- Fr. Gross hat um direkte Kontaktaufnahme gebeten / bisher 3x nicht erreicht per Telefon / SW 31.7

- H�ndler kontaktiert, 30.07.2026. RP";"";"";"Dealer opposes using more than one email-address, then never reponded back";"Saskia Willmeroth (AWF)";"Too much effort / change resistance";"";""
"EuroCar Landshut GmbH ? Hans Atzberger seit 1991 - Lead Manager Pro";"Customer Service (Avedo)";"MidMarket";"02.09.2026";"31.08.26. HD erneut Kontaktiert ohne Antwort

28.08.:  Tel. n.e. (immer direkt Besetztzeichen - ggf. hat man uns blockiert) / Mail erneut raus

27.08.: Telefonisch nicht erreichbar / Mail erneut raus

24.08.: Wieder kontaktiert zwecks Daten & Termin OB

21.08.: Tel. n.e.

19.08.: Kontaktiert f�r Daten und Termin OB";"";"";"";"Raphael Palash (AWF)";"Contact not reachable";"";""
"Capan Automobile - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (DD Heusenstamm)";"08.09.2026";"HD wurde mehrmals kontaktiert per E-mail und telefonisch und hat nicht reagiert. Ich schreibe heute letzte Erinnerungsmail. Deadline auf 07.09.2026. Falls er nicht antwortet wird auf LOST gestellt. 04.09.2026 RP

28.08.: Tel. wieder nicht erreicht, bislang keine R�ckmeldung auf Mail - geht am Nachmittag erneut raus

27.08.: Tel. erreicht, jedoch RR erbeten zwischen 14 - 15 Uhr / ging nicht ran - Mail noch mal versucht - werden sehen, ob diese durchgeht

25.08.: Kontaktiert zwecks Daten & Termin zum OB";"";"[Merged from 006bF00000WXpuA]: Nachricht hinterlassen mit der Bitte um RR. 
 anrufen. Er k�mmert sich darum. LMP.Bruder Okan Capan um 13.00 Uhr";"";"Raphael Palash (AWF)";"Contact not reachable";"";""
